Employee Number (Person),Employment Status (Person),Post Type (Post Profile),Appointment Status (Appointment),Pay Group (Person),Full Name (Person),Grade,Post Title (Post Profile),Directorate,Department,Family Friendly Absence Days,Absence Days,Sick Days,Certified Sick Days,Certified Sick Paid Days,Certified Sick Unpaid Days,Self Certified Sick Days,Self Certified Sick Paid Days,Annual Accrued Entitlement,Annual Floating Entitlement,Annual Carried Forward,Annual Total Entitlement,Annual Taken,Annual Balance,Annual Booked,Annual Balance Less Booked
100785,Live,PW,CO,SALARIES,Melissa Malone,7,EXECUTIVE QUANTITY SURVEYOR,HOUSING,PARKS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,101367,100634,1,101243,0,30,5,30,26,15,3,16
100155,Live,PW,CO,SALARIES,Julia Coleman,8,ADMINISTRATIVE OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,CULTURE,0,No Sick Leave Record,0,0,101112,100437,No Sick Leave Record,100259,0,24,2,35,15,18,3,12
101096,Live,PW,CO,SALARIES,Joanne Wells,4,ASSISTANT STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",CULTURE,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100646,100826,No Sick Leave Record,100361,0,30,3,23.5,8.5,12.5,No Annual Leave Record,20
101301,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Tammy Foster,No Grade,STAFF OFFICER,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,0,0,No Sick Leave Record,0,100969,101326,No Sick Leave Record,101334,0,16.5,4.5,27,22.5,15,No Annual Leave Record,No Annual Leave Record
101056,Live,PW,CO,SALARIES,Michael Wilcox,No Grade,INSPECTOR PLANNING,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101302,100665,0,101316,0,10,3,33,13,No Annual Leave Record,3,5.5
101202,Live,PW,CO,SALARIES,Jean Osborne,3,ASSISTANT ENGINEER,HOUSING,HOUSING,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100318,101333,0,101171,0,30,4,35,15.5,24,No Annual Leave Record,6
100475,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Alexandria Mitchell,No Grade,ARTS OFFICER,FINANCE & WATER SERVICES,PLANNING,0,No Sick Leave Record,No Sick Leave Record,40,100086,101013,No Sick Leave Record,100961,0,32,0,35,22.5,14.5,4,11
100087,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Matthew Bridges,8,STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,No Sick Leave Record,2,3,16,100208,100016,0,100932,0,16.5,3,No Annual Leave Record,19.5,20,5,No Annual Leave Record
100530,Live,PW,CO,SALARIES,William Lopez,3,SENIOR EXECUTIVE ENGINEER,CORPORATE AFFAIRS,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,0,No Sick Leave Record,100658,101142,2,100765,0,30,5,29,21.5,6,3,0
100854,Live,PW,CO,SALARIES,James Barr,7,SENIOR EXECUTIVE LIBRARIAN,INFRASTRUCTURE & CLIMATE CHANGE,WATER SERVICES,0,20,No Sick Leave Record,0,100899,100179,No Sick Leave Record,100533,0,24,0,35,0,3,5,0
101250,Live,PW,CO,SALARIES,Jennifer Bishop,6,GENERAL OPERATIVE,FINANCE & WATER SERVICES,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,25,No Sick Leave Record,100138,100563,0,101005,0,30,1.5,No Annual Leave Record,14,30,11.5,5
100117,Live,PW,CO,SALARIES,Allison Allen,No Grade,STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",CHERRYWOOD,0,0,2,No Sick Leave Record,101154,100491,No Sick Leave Record,101148,0,24,2.5,35,17,0,3,6.5
100443,Live,PW,CO,SALARIES,Joel Mason,6,CLERICAL OFFICER,CORPORATE AFFAIRS,INFRASTRUCTURE & CLIMATE CHANGE,0,1.68,No Sick Leave Record,0,101111,101081,2,100772,0,No Annual Leave Record,No Annual Leave Record,31,17,12,0,11.5
100755,Live,PW,CO,SALARIES,Christopher Choi,3,FOREMAN GARDENER,PLANNING & ECONOMIC DEVELOPMENT,PARKS,0,No Sick Leave Record,0,0,101035,100880,No Sick Leave Record,100770,0,23.5,5,26,23,14,3,16
101322,Live,PW,CO,SALARIES,Vanessa Reid,No Grade,BUILDING INSPECTOR/ CLERK OF WORKS,HOUSING,PARKS,0,0,No Sick Leave Record,No Sick Leave Record,101347,100908,No Sick Leave Record,100209,0,30,3,34,No Annual Leave Record,16.5,0,2.5
100978,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Melissa Martinez,4,ASSISTANT STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,No Sick Leave Record,No Sick Leave Record,0,0,100913,101194,No Sick Leave Record,101118,0,30,10.5,37,23.5,14,3,9
100557,Live,PW,CO,SALARIES,John Nguyen,4,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,ARCHITECTS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,10,100308,101007,0,101033,0,24,0,No Annual Leave Record,10,11,9,10.5
100506,Live,PW,CO,SALARIES,Sarah Castro,No Grade,SCHOOL WARDEN,INFRASTRUCTURE & CLIMATE CHANGE,WATER SERVICES,No Sick Leave Record,No Sick Leave Record,2,No Sick Leave Record,100602,100309,No Sick Leave Record,100737,No Annual Leave Record,24,0,30.5,20,17,8,8
100838,Live,PW,CO,SALARIES,Albert Davis,5,WATER SERVICES INSPECTOR,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,0,0,No Sick Leave Record,No Sick Leave Record,101301,100939,No Sick Leave Record,100007,0,30,0,11.5,15,17,No Annual Leave Record,14
100630,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Gerald Thompson,6,SCHOOL WARDEN,"COMMUNITY, CULTURAL SERVICES & PARKS",HARBOUR,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,101355,100742,No Sick Leave Record,101069,No Annual Leave Record,30.5,0,34,19,15.5,0,0.5
100691,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Roberta Brown,4,STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",HUMAN RESOURCES,No Sick Leave Record,0,No Sick Leave Record,0,100114,100833,No Sick Leave Record,101363,0,30,0,35,18,17.5,3,11
100499,Live,PW,CO,SALARIES,Christopher Johnson,3,CARPENTER/JOINER,CORPORATE AFFAIRS,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,0,No Sick Leave Record,100450,101120,No Sick Leave Record,101013,No Annual Leave Record,No Annual Leave Record,2,30,0,22,No Annual Leave Record,13
101231,Live,PW,CO,SALARIES,Richard Hardy,3,STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",HUMAN RESOURCES,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100386,100748,No Sick Leave Record,100587,0,No Annual Leave Record,1,No Annual Leave Record,19,14,3,21.5
100946,Live,PW,CO,SALARIES,Nancy Allen,7,SENIOR LIBRARIAN,CORPORATE AFFAIRS,ARCHITECTS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,3,100038,101217,No Sick Leave Record,100208,No Annual Leave Record,30,5,35,22,13,7,13
100673,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Tami Moore,6,CLERICAL OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,7,0,100423,101037,No Sick Leave Record,101202,0,23,3.5,35,23,18,0,16
101163,Live,PW,CO,SALARIES,Mrs. Amy Clark DVM,No Grade,ADMINISTRATIVE OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",CULTURE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100431,101201,0,101257,0,30,4,30,9,5,6,3.5
101228,Live,PW,CO,SALARIES,Margaret French,6,SCHOOL WARDEN,LAW,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,0,No Sick Leave Record,100184,100012,No Sick Leave Record,100004,0,30,No Annual Leave Record,35,16,11,3,No Annual Leave Record
100781,Live,TW,CO,SALARIES,Jody Lin,6,GRADUATE PARKS & LANDSCAPE OFFICER,CORPORATE AFFAIRS,PLANNING,0,0,No Sick Leave Record,No Sick Leave Record,101205,100056,No Sick Leave Record,100219,0,15,5,26,0.5,14,0,No Annual Leave Record
101009,Live,PW,CO,SALARIES,Joseph Pittman,5,SENIOR EXECUTIVE PARKS & LANDSCAPE OFFIC,ARCHITECTS,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,10,101362,101222,1,100514,0,30,0,No Annual Leave Record,19.5,9.5,3,5
100709,Live,TW,CO,SALARIES,Heather Graham,No Grade,ASSISTANT STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,89.02,No Sick Leave Record,2.5,100341,101025,No Sick Leave Record,100093,0,30,5,34,11.5,21,0,12.5
100856,Live,PW,CO,SALARIES,Shawn Hall,No Grade,STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",FINANCE,0,No Sick Leave Record,No Sick Leave Record,2,101260,100787,No Sick Leave Record,101203,0,27,4,32,19.5,7,0,9.5
100866,Live,TW,CO,FORTNIGHTLY WAGES - DLR,Donald Anderson,4,ADMINISTRATIVE OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,0,0.01,No Sick Leave Record,No Sick Leave Record,100608,100695,No Sick Leave Record,101110,0,30,4,33,17,6,16,30
100606,Live,PW,CO,SALARIES,Aaron Carlson,5,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,FINANCE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101122,100599,0,100192,0,24,0,32,25.5,2,3,3
100750,Live,PW,CO,SALARIES,Steven Moore,7,CLERICAL OFFICER,LAW,ARCHITECTS,No Sick Leave Record,1.23,0,0,100968,100099,0,100992,0,30,1,33.5,21,20.5,7,9.5
100956,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Bryan Campbell,6,DISTRICT SUPERVISOR PARKS,INFRASTRUCTURE & CLIMATE CHANGE,COMMUNITY,0,17.08,0,0,100135,100116,0,100454,0,30,5,35,20.5,6.5,10,3.5
100915,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Christina Serrano,8,DRIVER CLEANSING,FINANCE & WATER SERVICES,CHERRYWOOD,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100158,100643,0,101043,0,28.5,5,35,15.5,9,8,8.5
100316,Live,TW,CO,SALARIES,Nicole Warren,No Grade,ASSISTANT STAFF OFFICER,ARCHITECTS,INFRASTRUCTURE & CLIMATE CHANGE,0,0,0,0,100872,100503,0,100113,No Annual Leave Record,No Annual Leave Record,1.5,24,No Annual Leave Record,1,3,9
101292,Live,PW,CO,SALARIES,Elizabeth Nolan,8,DRIVER JCB,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,9,No Sick Leave Record,8,100227,100070,No Sick Leave Record,100862,0,17.5,5,20,No Annual Leave Record,3,5,18.5
101152,Live,PW,CO,SALARIES,Jacob Daniel,3,LIBRARY ASSISTANT,HOUSING,IT,No Sick Leave Record,No Sick Leave Record,4,No Sick Leave Record,101217,101284,No Sick Leave Record,100324,0,27.5,0,33.5,10.5,No Annual Leave Record,3,13
100129,Live,PW,CO,SALARIES,Timothy Russell,No Grade,STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,CORPORATE SERVICES,No Sick Leave Record,1,No Sick Leave Record,No Sick Leave Record,100326,100529,No Sick Leave Record,100775,0,24,0,28,12,7,3,12
100639,Live,PW,CO,SALARIES,Jessica Graves,6,EXECUTIVE ARCHITECT,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,0,100172,101027,No Sick Leave Record,100435,0,30,5,32,17,5.5,3,6.5
100368,Live,TW,CO,SALARIES,Megan Gonzalez,6,CLERICAL OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,No Sick Leave Record,No Sick Leave Record,8,No Sick Leave Record,100137,100234,No Sick Leave Record,100162,0,30,0,42,11,16,0,3
101317,Live,TP,CO,FORTNIGHTLY WAGES - DLR,Rebecca Briggs,7,HERITAGE PROPERTIES OFFICER PERMANENT,PLANNING & ECONOMIC DEVELOPMENT,CULTURE,0,0,0,No Sick Leave Record,100832,100229,0,100986,0,27,3,33,15.5,7.5,3,11.5
100762,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Heather Payne,6,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,101247,101243,1,100551,0,30,0,30.5,18.5,10,3,6
100928,Live,PW,CO,SALARIES,Jasmin Howard,No Grade,LIBRARY ASSISTANT,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101290,100594,0,100000,No Annual Leave Record,24,0,No Annual Leave Record,23.5,14.5,16,No Annual Leave Record
100233,Live,PW,CO,SALARIES,Jennifer Terrell,No Grade,STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0.05,No Sick Leave Record,0,100229,100976,0,100147,0,32,0,34,24.5,14,No Annual Leave Record,8
100153,Live,PW,CO,SALARIES,Sarah Garcia,No Grade,CLERICAL OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100967,101165,No Sick Leave Record,100384,0,29,5,30,25,5,3,11
101331,Live,PW,CO,SALARIES,Timothy Hayes,3,GENERAL OPERATIVE,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,100790,100647,No Sick Leave Record,100750,0,14,10,25.5,17.5,7.5,3,6
100984,Live,TP,CO,FORTNIGHTLY WAGES - DLR,Diana Doyle,6,LIFEGUARD,ARCHITECTS,LAW,No Sick Leave Record,0,No Sick Leave Record,0,100128,100214,No Sick Leave Record,100819,0,22.5,5,No Annual Leave Record,27,14,0,7
100503,Live,PW,CO,SALARIES,Sarah Miller,6,INTEGRATION SUPPORT CO-ORDINATOR,PLANNING & ECONOMIC DEVELOPMENT,PLANNING,0,No Sick Leave Record,No Sick Leave Record,0,100221,100190,No Sick Leave Record,100834,0,27,0,24,15,10,3,6
101106,Live,PW,CO,SALARIES,Donald Moore,3,EXECUTIVE ENGINEER,FINANCE & WATER SERVICES,WATER SERVICES,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101037,100875,1,100169,0,17.5,0,32,7.5,10,1,5
100326,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Justin Mcdaniel,5,LIFEGUARD,FINANCE & WATER SERVICES,INFRASTRUCTURE & CLIMATE CHANGE,0,0,0,No Sick Leave Record,100477,101364,No Sick Leave Record,100102,No Annual Leave Record,No Annual Leave Record,No Annual Leave Record,31.5,8,13.5,0,1.5
100865,Live,PW,CO,SALARIES,Scott Martinez,4,SCHOOL WARDEN,"COMMUNITY, CULTURAL SERVICES & PARKS",CULTURE,0,0,8,No Sick Leave Record,100750,100616,0,100704,0,24,5,35,24,6.5,3,8
101089,Live,PW,CO,SALARIES,Abigail Beck DVM,6,STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,IT,No Sick Leave Record,0.72,No Sick Leave Record,No Sick Leave Record,101299,101322,1,100622,0,19,0,31,No Annual Leave Record,14,No Annual Leave Record,No Annual Leave Record
100160,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Christopher Jackson,3,DRIVER SHIFT HARBOUR,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,0,No Sick Leave Record,No Sick Leave Record,0,100411,101067,0,100196,0,31,No Annual Leave Record,27,31,5,7,8.5
100719,Live,PW,CO,SALARIES,Madison Skinner,6,ASSISTANT STAFF OFFICER,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,0,100577,100996,No Sick Leave Record,100502,0,24,5,36,1,1,5,6
101320,Live,PW,CO,SALARIES,Erin Santos,No Grade,SENIOR ECONOMIC DEVELOPMENT OFFICER,CORPORATE AFFAIRS,INFRASTRUCTURE & CLIMATE CHANGE,0,4.65,No Sick Leave Record,No Sick Leave Record,100582,100730,No Sick Leave Record,100012,0,30,5,24,23,18,0,30
100051,Live,PW,CO,SALARIES,Ricardo Maynard,4,GENERAL OPERATIVE,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,1.5,No Sick Leave Record,0,100768,100409,0,100156,0,24,0,No Annual Leave Record,9,7,5,4
100580,Live,PW,CO,SALARIES,Brandon Donaldson,No Grade,CLERICAL OFFICER,FINANCE & WATER SERVICES,COMMUNITY,No Sick Leave Record,No Sick Leave Record,0,0,100187,100685,0,101253,No Annual Leave Record,30,4.5,32,15,No Annual Leave Record,No Annual Leave Record,10
101319,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Matthew Downs,7,GENERAL OPERATIVE,FINANCE & WATER SERVICES,HARBOUR,No Sick Leave Record,0,No Sick Leave Record,0,100127,100692,No Sick Leave Record,100276,0,24,5,9,19,14.5,No Annual Leave Record,6.5
101167,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Alicia Anderson,No Grade,ASSISTANT STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,0,0,0,No Sick Leave Record,100874,101307,0,100832,0,24,3,11.5,23,17.5,0,16
101277,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Matthew Houston,No Grade,SENIOR PROGRAMMER,"COMMUNITY, CULTURAL SERVICES & PARKS",CULTURE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100395,100729,1,100326,0,28,0,28.5,20.5,14,0,No Annual Leave Record
100055,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Misty Moreno,5,GIS PROJECT LEAD,"COMMUNITY, CULTURAL SERVICES & PARKS",FINANCE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101343,100554,No Sick Leave Record,101255,0,13.5,0,35,15,12,3,6
100644,Live,TW,EN,,Jose Sanders PhD,No Grade,CLERICAL OFFICER,HOUSING,PLANNING,No Sick Leave Record,0.01,No Sick Leave Record,No Sick Leave Record,100694,100431,No Sick Leave Record,100905,0,30,0,37,9,13,7,13
101248,,PW,CO,FORTNIGHTLY WAGES - DLR,Andre Allen,No Grade,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,0,No Sick Leave Record,0,No Sick Leave Record,100042,100489,No Sick Leave Record,100968,0,10,5,11,15.5,0.5,3,No Annual Leave Record
100068,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Micheal Garrett,3,ASSISTANT STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,0,0,No Sick Leave Record,0,101337,100301,No Sick Leave Record,101127,0,29,5,29,21,19,3,No Annual Leave Record
101146,Live,PW,CO,SALARIES,Connie Campbell,No Grade,SENIOR EXECUTIVE OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,PLANNING,No Sick Leave Record,3.08,No Sick Leave Record,72,100616,100171,No Sick Leave Record,100877,0,30,0,35,No Annual Leave Record,22,3,3
100241,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Amy Smith,5,FOREMAN WATER + DRAINAGE,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,0,0,100531,100565,0,101184,0,30,0,31,13,7.5,10,10
100358,Live,PW,CO,SALARIES,Joseph Anderson,6,STAFF OFFICER,HOUSING,HOUSING,0,1.01,0,No Sick Leave Record,100049,101259,No Sick Leave Record,100386,0,30,5,30,14,6.5,3,2
101156,Live,PW,CO,SALARIES,Matthew Ryan,6,DIRECTOR OF CORPORATE SERVICES,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,4,No Sick Leave Record,101167,100718,No Sick Leave Record,100674,0,23.5,0,No Annual Leave Record,24,6,5,8
100048,Live,TP,CO,SALARIES,Bradley Garcia,4,ASSISTANT ENGINEER,INFRASTRUCTURE & CLIMATE CHANGE,HUMAN RESOURCES,0,No Sick Leave Record,No Sick Leave Record,3,101317,100039,No Sick Leave Record,100510,0,24,7,24.5,24,21,0,7
100640,Live,PW,AP,SALARIES,Ryan Hardy,3,CLERICAL OFFICER,CORPORATE AFFAIRS,CULTURE,No Sick Leave Record,0.01,2,0,100179,101261,0,101194,0,24,1,33,25.5,18,3,2
100857,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Matthew Brown,5,SCHOOL WARDEN,PLANNING & ECONOMIC DEVELOPMENT,CHERRYWOOD,0,0,No Sick Leave Record,0,100882,100072,No Sick Leave Record,100062,0,32,No Annual Leave Record,30,23,No Annual Leave Record,3,4
100799,Live,PW,CO,SALARIES,Brandon Williams,4,RESIDENT ENGINEER TEMPORARY,ARCHITECTS,FINANCE,No Sick Leave Record,No Sick Leave Record,0,0,100734,100902,No Sick Leave Record,100306,0,15.5,0,31,29,13.5,0,No Annual Leave Record
100084,Live,TP,CO,SALARIES,Kathleen Lynn,3,CLERK-OF-WORKS(TEMP),CORPORATE AFFAIRS,LAW,0,0,No Sick Leave Record,No Sick Leave Record,100270,100808,0,100817,0,14,0,30,19,12,0,0
100764,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Jennifer Mccoy,3,ADMINISTRATIVE OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,CHERRYWOOD,No Sick Leave Record,0,No Sick Leave Record,0,101109,100312,No Sick Leave Record,100684,0,24,0,24,No Annual Leave Record,8.5,0,8
101012,Live,PW,CO,SALARIES,Michael Kelly,5,STAFF OFFICER,PLANNING & ECONOMIC DEVELOPMENT,ARCHITECTS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,3,100640,100929,2,100357,0,27,1,31.5,20.5,12.5,5,No Annual Leave Record
100207,Live,PW,CO,SALARIES,Sean Edwards,No Grade,STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,2,No Sick Leave Record,100098,100471,No Sick Leave Record,100659,0,29,5,10,24,17.5,0,8
100457,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Maria Hampton,4,GENERAL OPERATIVE,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101014,100977,0,101353,No Annual Leave Record,No Annual Leave Record,3,27,15,8.5,3,7
100056,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Russell Williams,6,WAM GRADUATE,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101197,100364,No Sick Leave Record,101119,0,27,3,34,18.5,13,4,5.5
101015,Live,TW,CO,SALARIES,Judy Cox,9,SCHOOL WARDEN,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,0,0.01,No Sick Leave Record,No Sick Leave Record,101342,100632,No Sick Leave Record,100153,0,28,No Annual Leave Record,17.5,24.5,15,7,11
101267,Live,PW,CO,SALARIES,Michele Roberts,4,CLERICAL OFFICER,FINANCE & WATER SERVICES,PARKS,No Sick Leave Record,No Sick Leave Record,0,0,100662,101126,0,100504,0,29,0,37,18,16,No Annual Leave Record,9
100394,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Kathy Hines,6,GRADUATE PROGRAMME,PLANNING & ECONOMIC DEVELOPMENT,CULTURE,No Sick Leave Record,17.58,2,0,101033,100371,No Sick Leave Record,100855,0,32,5,22.5,13,3,3,5
100739,Live,PW,CO,SALARIES,Rachel Jackson,6,ADMINISTRATIVE OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",COMMUNITY,0,No Sick Leave Record,18.5,3,100379,100538,0,100114,0,No Annual Leave Record,0,No Annual Leave Record,9,17.5,3,6
100666,Live,TW,CO,SALARIES,Julia Perez,No Grade,DRIVER CLEANSING,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,5,5,100993,101059,No Sick Leave Record,100984,0,24,2,35,6,10.5,3,6
100481,Live,PW,CO,SALARIES,Gwendolyn Waters,3,CHARGEHAND GARDEN,"COMMUNITY, CULTURAL SERVICES & PARKS",FINANCE,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100496,100023,1,100029,0,30,5,32,18.5,5.5,3,12.5
100674,Live,PW,CO,SALARIES,Brenda Santos,No Grade,LIBRARY ASSISTANT,FINANCE & WATER SERVICES,CORPORATE SERVICES,0,3,69,No Sick Leave Record,100982,100003,No Sick Leave Record,100077,0,32,0,35,24.5,7.5,0,No Annual Leave Record
101001,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Jeffrey Martinez,4,STAFF OFFICER,PLANNING & ECONOMIC DEVELOPMENT,LAW,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100153,101238,0,101083,0,30,5,34,19,11,3,4
100419,Live,PW,CO,SALARIES,Connor Spencer,6,SENIOR STAFF OFFICER,CORPORATE AFFAIRS,PARKS,No Sick Leave Record,0,No Sick Leave Record,0,100688,100612,No Sick Leave Record,100374,0,24,4,35,19,10,0,6
101093,Live,PW,CO,SALARIES,Kari Hayes,No Grade,ASSISTANT STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,IT,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,100685,100373,1,100810,0,10,6.5,36,No Annual Leave Record,8.5,0,No Annual Leave Record
100124,Live,PW,CO,SALARIES,Heather Arnold,No Grade,SENIOR EXECUTIVE PLANNER,HOUSING,PLANNING,0,No Sick Leave Record,No Sick Leave Record,0,100381,100548,No Sick Leave Record,100432,0,No Annual Leave Record,0,31,0,18,0,No Annual Leave Record
101214,Live,PW,CO,SALARIES,Heather James,6,ASSISTANT STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,No Sick Leave Record,0,No Sick Leave Record,0,100619,100225,No Sick Leave Record,100609,0,16,1,27,16,26,3,13
100281,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Carolyn Fox,6,SENIOR EXECUTIVE QUANTITY SURVEYOR,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,No Sick Leave Record,4,No Sick Leave Record,0,100007,100872,No Sick Leave Record,100856,0,27,No Annual Leave Record,35,14.5,13,No Annual Leave Record,4
100158,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Benjamin Tate,No Grade,CLERICAL OFFICER,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0.13,No Sick Leave Record,No Sick Leave Record,100447,100596,0,100474,0,34,4.5,34,17.5,12,0,3
